Subinventory,Item,On-hand Qty,Item Description
TESTVAN,191779,1,211z
TESTVAN,191772,1,211z
TESTVAN,169748,1,222k
TESTVAN,162694,1,622
TESTVAN,163089,1,612
TESTVAN,190477,1,722k
TESTVAN,192239,1,922
TESTVAN,190514,1,HOPPER1
TESTVAN,DN002708,1,HOPPER2
TESTVAN,DN005254,1,HOPPER2
TESTVAN,207406,1,HOPPER3
TESTVAN,DN007362,1,HOPPER3
TESTVAN,DN003316,1,JOEY1
TESTVAN,DN007416,1,JOEY1
TESTVAN,190560,1,JOEY1
TESTVAN,200349,1,JOEY2
TESTVAN,DN005139,1,JOEY2
TESTVAN,207000,1,WIRELESS JOEY
TESTVAN,DN008438,1,WIRELESS JOEY
TESTVAN,199924,1,WIRELESS JOEY
TESTVAN,207971,1,4K JOEY
TESTVAN,203904,1,SUPER JOEY
TESTVAN,DN004866,1,SUPER JOEY
TESTVAN,DN009402,1,SUPER JOEY
TESTVAN,207117,1,SUPER JOEY
TESTVAN,208381,1,WALLY
TESTVAN,DN009734,1,WALLY
TESTVAN,DN010160,1,WALLY
TESTVAN,DN010083,1,WALLY
TESTVAN,DN008191,1,J1 MODEM
TESTVAN,DN008194,1,J1 MODEM
TESTVAN,197736,1,J1 TRIA
TESTVAN,DN003269,1,J1 TRIA
TESTVAN,DN001958,1,VIASAT TRIA
TESTVAN,DN005595,1,VIASAT E-TRIA
TESTVAN,DN005596,1,VIASAT E-TRIA
TESTVAN,DN001955,1,VIASAT MODEM
TESTVAN,DN008593,1,J2 MODEM
TESTVAN,DN008594,1,J2 TRIA
TESTVAN,DN010475,1,J1/J2 TRIA
TESTVAN,DN010476,1,J1/J2 TRIA
TESTVAN,1506096-0002,1,VOICE ATA
TESTVAN,112641,1,SINGLE EYE REM
TESTVAN,139873,1,SINGLE EYE REM
TESTVAN,145511,1,1000.2 LNBF
TESTVAN,151027,1,1000.2 LNBF
TESTVAN,201499,1,HYBRID 1000.2 LNBF
TESTVAN,DN007060,1,HYBRID 1000.2 LNBF 
TESTVAN,148746,1,HYBRID COMPATIBLE 500+
TESTVAN,176597,1,500+ LNBF
TESTVAN,163060,1,500+ LNBF
TESTVAN,184187,1,EA TWIN LNBF
TESTVAN,201700,1,HYBRID EA TWIN LNBF
TESTVAN,173405,1,44 SWITCH
TESTVAN,145578,1,44 SWITCH
TESTVAN,174627,1,44 SWITCH
TESTVAN,209925,1,HYBRID 42 SWITCH
TESTVAN,DN000010,1,WIFI ADAPTER
TESTVAN,179048,1,WIFI ADAPTER
TESTVAN,DN006086,1,WIFI ROUTER
TESTVAN,190149,1,HIC
TESTVAN,209783,1,WAP
TESTVAN,DN005497,1,WAP
TESTVAN,179081,1,SLING ADAPTER
TESTVAN,192092,1,SOLO NODE
TESTVAN,185834,1,SOLO NODE
TESTVAN,192093,1,DUO NODE
TESTVAN,185836,1,DUO NODE
TESTVAN,203951,1,SOLO HUB
TESTVAN,204861,1,DUO HUB
TESTVAN,189753,1,20.1 REMOTE
TESTVAN,189754,1,21.1 REMOTE
TESTVAN,189632,1,21.1 REMOTE
TESTVAN,186214,1,40 REMOTE
TESTVAN,DN008710,1,40 REMOTE
TESTVAN,192091,1,40 REMOTE 
TESTVAN,205284,1,52 REMOTE
TESTVAN,212314,1,52 REMOTE
TESTVAN,207798,1,52 REMOTE
TESTVAN,213154,1,54 REMOTE
TESTVAN,207793,1,50 REMOTE
TESTVAN,194858,1,OTA DONGLE
TESTVAN,DN000336,1,DIGINOVA OTA ANTENNA
TESTVAN,DN007589,1,FLATWAVE ANTENNA
TESTVAN,DN000128,1,SCREEN CLEANER
TESTVAN,DN004340,1,SURGE PROTECTOR 12 OUTLET
TESTVAN,DN006347,1,2x2 SURGE PROTECTOR
TESTVAN,DN005439,1,BLUE 40 REMOTE SKIN
TESTVAN,DN005440,1,GREEN 40 REMOTE SKIN
TESTVAN,DN005441,1,PINK 40 REMOTE SKIN
TESTVAN,DN006554,1,RED 40 REMOTE SKIN
TESTVAN,DN007966,1,BLUE 52 REMOTE SKIN
TESTVAN,DN007967,1,GREEN 52 REMOTE SKIN
TESTVAN,DN007968,1,RED 52 REMOTE SKIN
TESTVAN,DN007969,1,PINK 52 REMOTE SKIN
TESTVAN,DN009293,1,RED 50 REMOTE SKIN
TESTVAN,DN000731,1,8ft HDMI
TESTVAN,191411,1,15ft HDMI
TESTVAN,191412,1,30ft HDMI
TESTVAN,DN006691,1,8ft PEARL OPTICAL
TESTVAN,191414,1,12ft OPTICAL
TESTVAN,191416,1,SMALL FULL MOTION MOUNT
TESTVAN,191417,1,MED TILT MOUNT
TESTVAN,191418,1,LARGE TILT MOUNT
TESTVAN,DN003965,1,MED FULL MOTION MOUNT
TESTVAN,DN000732,1,LARGE FULL MOTION
TESTVAN,DN008528,1,LARGE FULL MOTION
TESTVAN,DN008621,1,SMARTBAR SPEAKER
